F	Ap	Alt_Names	WMR	Spectral_Type	A_v	M_I	log_T_eff	log_L_bol	Mass	log_age	Criteria	Notes
4.0	40.0			M4.5	2.1	9.03	3.488	-1.79	0.15	7.18	ext	
4.0	29.0			M2	5.6	6.23	3.5439999999999996	-0.82	0.32	6.46	ext	
3.0	37.0			K7	6.8	3.96	3.602	0.06	0.42	5.65	ext	
4.0	42.0			M4.5	2.3	7.83	3.488	-1.31	0.16	6.57	ext	
		RXJ 1624.9-2459		K5 (MMGC)	0.3 (2M)	6.91	3.638	-1.44			pm,x	(1)
3.0	58.0		2-15	M3.5	2.6	6.6	3.512	-0.9	0.19	6.23	ext,li	
4.0	59.0	WSB 18		M3.5	2.7	6.58	3.512	-0.89	0.19	6.23	ext,ha,IRX	(4)
4.0	82.0	WSB 19		M4.5	0.2	7.46	3.488	-1.16	0.16	6.38	ha,IRX	
4.0	38.0			M5	1.8	9.13	3.477	-1.78	0.12	7.01	ext,ha	
4.0	32.0			K6	7.0	5.03	3.6210000000000004	-0.4	0.73	6.61	ext	
4.0	52.0			M3	5.0	6.4	3.525	-0.85	0.23	6.27	ext,ha	
		GSS 5		G9 (TQ)	0.6 (GS)	3.08	3.7289999999999996	0.47	1.7	6.65	pm,x	(4)
			2-10	M5	0.7	8.51	3.477	-1.53	0.14	6.75	ha	
		SR 22	1-7	M4.5	0.0 (GS)	7.31	3.488	-1.1	0.16	6.31	ha,pm,x	
		HD 147889		B2 (HS)	4.4 (C)	-1.76	4.32	3.63	8.3	zams?	pm,ref. neb.	(2)
3.0	45.0			K7	6.7	4.89	3.602	-0.32	0.55	6.24	ext	
		ROXR1-4/SR 8		K7 (MMGC)	1.6 (2M)	3.81	3.602	-0.18	0.49	5.98	ext,pm,x	
4.0	17.0			M0	4.3	7.49	3.58	-1.34	0.52	7.98	ext	
3.0	5.0			K6:	7.8	4.92	3.6210000000000004	-0.35	0.7	6.51	ext	
3.0	56.0	WLY 2-2		K4	6.7	3.79	3.662	0.12	0.8	6.08	ext,IRX,li	(4)
		WLY 2-3	3-15	M2	4.8	6.42	3.5439999999999996	-0.9	0.32	6.58	ext,ha,IRX,x	
			2-32	M3.5	2.5	7.2	3.512	-1.14	0.21	6.54	ext,li,x	
4.0	16.0	ROX 3		K8	1.1 (GS)	4.82	3.591	-0.28	0.47	6.06	li,pm,x	
		VSS 23	1-22	K5.5	5.0	3.81	3.63	0.1	0.56	5.78	ext,pm,x	
1.0	3.0			K0	6.6	3.96	3.72	0.11	1.3	6.95	ext,pm	
		WLY 2-11	2-25	M5	2.1	7.71	3.477	-1.22	0.14	6.39	ext,ha,x	
		SR 4	1-29	K4.5	2.8 (BA)	3.45	3.65	0.25	0.66	5.75	ext,ha,IRX,li,pm,x	
		GSS 20	1-38	K5.5	5.9	3.92	3.63	0.05	0.57	5.85	ext,pm,x	
1.0	16.0		3-14	M4	1.8	7.22	3.498	-1.12	0.18	6.40	ext,li	
		Chini 8	2-1	M5.5	0.0	7.47	3.4619999999999997	-1.06	0.12	6.09	ha,li,x	
			4-28	M3	5.2	6.33	3.525	-0.82	0.23	6.24	ext,x	
		GSS 23		K0 (MMGC)	7.1 (BA)	1.09	3.72	1.26	2.9	5.69	ext,pm,x	
		VSSG 19	1-13	M2	3.3	5.43	3.5439999999999996	-0.5	0.29	6.00	ext,x	(4)
			2-19	M4.5	1.7	7.21	3.488	-1.06	0.16	6.27	ext,ha,li	
		SR 3		B6 (EL)	6.5 (C)	0.28	4.146	2.28	3.8	6.13	pm	(3)
3.0	43.0	GSS 29		K6	9.3	4.06	3.6210000000000004	0.0	0.54	5.86	ext,IRX,li	
		GSS 28	1-5	K4.5	2.9	4.54	3.65	-0.18	0.85	6.52	ext,ha,IRX,li,pm,x	
3.0	15.0		4-39	M3.25	2.3	6.14	3.5189999999999997	-0.73	0.2	6.09	ext,li	
			2-11	M4.75	0.0	7.75	3.4819999999999998	-1.25	0.15	6.46	li,x	
		WSB 28	1-25	M2	2.7	5.92	3.5439999999999996	-0.7	0.36	7.99	ext,ha,pm,x	
		GY 5	4-16	M5.5	2.0	9.15	3.4619999999999997	-1.74	0.11	5.06	ext,ha,IRX,x	
		GY 3	4-41	M8	0.0	10.1	3.398	-1.45	0.04	5.43	ha,IRX,x	
		GSS 31	1-30	G6	7.6 (GS)	1.41	3.752	1.16	2.8	6.23	ext,IRX,pm,x	
		DoAr 25	1-28	K5	3.6 (GS)	3.65	3.638	0.16	0.6	5.76	ext,ha,IRX,li,pm,x	
		EL 24	2-27	K5.5	7.6	3.86	3.63	0.08	0.57	5.81	ext,ha,IRX,x	
3.0	23.0	GSS 32/Source 2		K5	10	3.9	3.638	0.06	0.63	5.92	ext,IRX,x	
3.0	51.0		4-18	M4.5	2.1	9.01	3.488	-1.78	0.15	7.17	ext,ha	
			4-25	M5.5	1.1	9.57	3.4619999999999997	-1.9	0.08	6.87	x	
		WSB 34	2-36	M4.5	0.7	8.16	3.488	-1.44	0.16	6.75	ha	
		Source 1	1-2	B3	13	-0.77	4.301	3.2	6.0	zams?	ext,ref. neb.,x	(3)(4)
3.0	16.0	ISO-Oph 51		M0	4.9	7.13	3.58	-1.2	0.57	7.73	ext,IRX,li,x	
			4-4	M5	1.9	8.83	3.477	-1.66	0.13	6.89	ext,ha,x	
		WSB 37	2-29	M5	0.7	7.4	3.477	-1.09	0.14	6.24	ha,IRX,li,x	
3.0	18.0	GSS 37/VSSG 2		M1	6.1	5.13	3.562	-0.39	0.36	5.99	ext,ha,IRX,li,x	
3.0	33.0		1-21	K8	4.2	5.25	3.591	-0.45	0.56	6.40	ext,li,pm,x	
1.0	21.0			K6	4.4	6.09	3.6210000000000004	-0.82	0.72	7.51	ext	
		GY 112	1-20	M3	2.2	6.34	3.525	-0.82	0.23	6.24	ext,pm,x	
1.0	22.0		3-22	M4	1.0	7.74	3.498	-1.33	0.18	6.68	li,x	
3.0	36.0		4-13	M3	4.6	7.2	3.525	-1.16	0.25	6.73	ext	
		WSB 38	1-36	G3.5	7.4	2.38	3.765	0.78	1.8	6.78	ext,ha,IRX,li,pm,x	(4)
			4-30	M4.5	2.7	8.04	3.488	-1.4	0.16	6.68	ext,li,var,x	
1.0	8.0		4-59	M5	2.0	8.8	3.477	-1.65	0.13	6.88	ext,x	
		WSB 40	1-32	K5.5	5.3	4.2	3.63	-0.06	0.61	6.04	ext,ha,pm	
		WL 18	4-53	K6.5	12 (2M)	4.63	3.612	-0.52	0.74	6.78	ext,ha,IRX,x	
2.0	56.0		2-38	M3.5	3.3	7.26	3.512	-1.16	0.21	6.58	ext,li,var	
			4-46	K7	8.7	5.54	3.602	-0.57	0.71	6.80	ext,ha,IRX,x	
		SR 24s	1-37	K1	6.2	3.45	3.705	0.3	1.5	6.52	ext,ha,IRX,pm,x	
		SR 24n		M0.5 (CK)	8.9 (2M)	2.32	3.571	0.32	0.47	<6.0	ext,ha,IRX	(3)(4)
2.0	32.0			M1	4.1	6.0	3.562	-0.74	0.45	6.61	ext,li,x	
5.0	67.0			K8	5.5	6.09	3.591	-0.79	0.71	7.15	ext,li	
1.0	5.0	GY 194		M0	6.0	6.47	3.58	-0.93	0.64	7.26	ext,li:,x	
		GY 204	4-65	M5.5	0.4	9.63	3.4619999999999997	-1.93	0.08	6.88	ha,IRX,var,x	
2.0	29.0		4-63	M4.5	2.5	8.26	3.488	-1.48	0.16	6.80	ext,ha	
5.0	81.0	ISO-Oph 106	4-37	M2.5	6.4	6.74	3.535	-1.01	0.28	6.61	ext,ha,IRX	
		SR 21		G1 (MMGC)	7.6 (GS)	1.12	3.7739999999999996	1.29	2.9	6.26	ext,IRX,pm,x	
2.0	23.0			K6	7.7	5.16	3.6210000000000004	-0.46	0.77	6.72	ext,li,x	
		WSB 45	3-44	M4.5	0.0	7.75	3.488	-1.29	0.16	6.52	li,pm,x	
		WSB 46	1-9	M2	0.5	6.41	3.5439999999999996	-0.89	0.32	6.57	pm,x	
			4-10	M3.5	4.3	7.37	3.512	-1.2	0.21	6.65	ext,ha,x	
6.0	62.0			K8	4.9	4.72	3.591	-0.24	0.46	5.99	ext	
		WSB 48	1-6	M3.75	0.0	7.66	3.491	-1.31	0.17	6.59	ha,pm	
		SR 12		M0	2.3 (GS)	4.0	3.58	0.05	0.33	5.46	ext,pm,x	(4)
		WSB 49	3-6	M4.25	0.3	7.53	3.4930000000000003	-1.22	0.17	6.49	ha,IRX,li,pm,x	
		GY 264	4-45	M8	0.0	10.2	3.398	-1.5	0.04	5.47	ha,var,x	
			3-7	M4.75	0.0	8.75	3.4819999999999998	-1.65	0.14	6.95	x	
		GY 280	2-20	M2	1.0	8.16	3.5439999999999996	-1.59	0.36	7.73	x	(5)
		GY 284	4-22	M3.25	4.9	7.75	3.5189999999999997	-1.37	0.24	6.98	ext,IRX,x	
		GY 292		K5 (LR,GS)	8.9	4.77	3.638	-0.28	0.8	6.58	ext,IRX,x	
		WSB 50	2-6	M4.5	1.9	7.36	3.488	-1.12	0.16	6.33	ext,li,x	
2.0	7.0			M4.5	2.3	9.04	3.488	-1.8	0.15	7.19	ext,ha,li:	
		ROX 30A		K3 (GS)	4.1	5.19	3.676	-0.42	0.9	7.25	ext,x	
1.0	9.0	WLY 2-48/ISO-Oph 159		A0	12	1.68	3.9789999999999996	1.31	2.1	7.53	ext,IRX	
2.0	35.0		4-54	M2.5	2.9	6.44	3.535	-0.89	0.27	6.43	ext,li	
		WLY 2-49	4-24	K5.5	9.6	4.16	3.63	-0.04	0.61	6.01	ext,ha,IRX,x	
		WSB 51	2-35	K6	4.1	4.29	3.6210000000000004	-0.1	0.57	6.01	ext,ha,li,pm,x	
2.0	31.0			K5.5	5.9	4.29	3.63	-0.09	0.63	6.10	ext,li,x	
		WSB 53	1-31	K5.5	3.4	4.43	3.63	-0.15	0.66	6.21	ext,ha,pm	
		WSB 52	3-5	K5	7.0	4.26	3.638	-0.08	0.69	6.18	ext,ha,IRX,li,x	
		SR 9	1-26	K5	1.3 (BA)	3.57	3.638	0.2	0.59	5.71	ha,IRX,li,pm,x	(4)
			2-34	M2	3.9	5.52	3.5439999999999996	-0.54	0.29	6.04	ext,x	
		GY 326	4-64	M2	9.6 (2M)	5.01	3.5439999999999996	-0.77	0.31	6.38	ext,IRX,x	
1.0	14.0		3-21	M3.5	2.2	7.2	3.512	-1.14	0.21	6.54	ext,li	
		VSSG 14	1-14	A7	9.1	1.48	3.895	1.24	2.1	6.76	ext,pm,x	
		ROX 31	1-10	K7.5	5.0	4.12	3.597	0.0	0.41	5.68	ext,x	(4)
		SR 10	1-24	M2	0.0	6.36	3.5439999999999996	-0.87	0.32	6.54	ha,IRX,pm,x	(4)
		WSB 58	3-34	M4.75	0.7	7.41	3.4819999999999998	-1.12	0.15	6.31	x	
			3-31	M5	0.8	7.47	3.477	-1.12	0.14	6.28	ha,li,x	
2.0	30.0		2-3	M2	4.2	5.79	3.5439999999999996	-0.65	0.3	6.20	ext,li	
1.0	11.0			M5.5	0.3	8.66	3.4619999999999997	-1.54	0.1	6.59	li	
2.0	18.0		2-21	M3.75	3.4	6.7	3.491	-0.92	0.16	6.14	ext,li	
		ROX 32	3-11	M3	3.4	6.08	3.525	-0.72	0.22	6.12	ext,li,x	
5.0	73.0			M0	3.4	6.55	3.58	-0.97	0.63	7.33	ext,li	
1.0	24.0	ISO-Oph 194		M4	4.6	7.41	3.498	-1.19	0.18	6.50	ext,ha,IRX,x	
		WSB 60	3-20	M4.5	1.9	7.73	3.488	-1.27	0.16	6.51	ext,ha,IRX	
2.0	10.0	ISO-Oph 195		K6	6.3	4.57	3.6210000000000004	-0.21	0.63	6.23	ext,IRX,li,x	
			3-12	M3	1.9	6.8	3.525	-1.01	0.24	6.49	ext	
2.0	59.0		4-3	M3.5	3.4	8.05	3.512	-1.48	0.22	7.07	ext	
2.0	6.0		2-37	M2.5	4.5	6.72	3.535	-1.0	0.28	6.61	ext,IRX,li,x	
1.0	10.0			M5	1.2	9.45	3.477	-1.91	0.11	7.13	ha	
			2-30	K5	6.7	5.03	3.638	-0.39	0.86	6.80	ext,ha,IRX,x	
			2-4	M2	4.6	6.26	3.5439999999999996	-0.83	0.32	6.48	ext,x	
1.0	26.0		3-39	M5	0.4	8.98	3.477	-1.72	0.13	6.95	li	
		HD 148352		F2 (HS)	0.0 (2M)	1.18	3.838	1.21	2.1	6.71	x	(5)
2.0	44.0			M3.5	5.3	6.68	3.512	-0.93	0.2	6.27	ext	
2.0	45.0		4-57	M3.5	5.2	7.28	3.512	-1.17	0.21	6.59	ext,ha	
		SR 20	1-35	G7	7.0 (GS)	1.46	3.747	1.14	2.8	6.22	ext,ha,pm,x	(4)
2.0	16.0		2-23	M4	2.8	7.25	3.498	-1.13	0.18	6.41	ext,li:,x	
		SR 13	1-15	M3.75	0.0 (BA)	5.33	3.491	-0.38	0.14	4.77	ha,IRX,pm,x	(4)
5.0	7.0			M4.5	1.8	9.36	3.488	-1.93	0.14	7.34	ext,ha,var	
		WSB 63	3-43	M1.5	3.9	5.61	3.553	-0.58	0.35	6.20	ext,ha,li,x	
5.0	4.0			M5.5	0.2	9.73	3.4619999999999997	-1.97	0.08	6.91	ha,IRX,var,x	
2.0	57.0			M5	0.3	7.46	3.477	-1.12	0.14	6.28	ha,IRX,li	
			3-37	M5.5	0.0	8.91	3.4619999999999997	-1.64	0.1	6.67	li	
		ROX 35A		K3 (BA)	2.1 (W)	3.93	3.676	0.08	1.0	6.36	ext,li,x	
		ROX 35B		G4 (BA)	2.5 (GS)	3.64	3.763	0.27	1.2	7.22	ext,x	
