ID,alpha,delta,J,K,SpT,T_eff,Other Names
SONYC-Lup3-1,16 07 08.55,-39 14 07.8,14.6,11.5,M1.75^a,"3850^a, 4400^b",
SONYC-Lup3-3,16 07 55.18,-39 06 04.0,13.5,11.4,"M 5.75^a, M6.5^c","3050^a, 2900^b, 2950^c",
SONYC-Lup3-4,16 08 04.76,-39 04 49.6,13.9,12.4,"M 6.50^a, M7^c","3000^a, 2700^b, 2900^c",
SONYC-Lup3-5,16 08 16.03,-39 03 04.5,12.5,11.1,"M 6.25^a, M7.5^d,M5.5^g","2950^a, 2800^b",Par-Lup3-1
SONYC-Lup3-7,16 08 59.53,-38 56 27.8,13.9,12.7,"M 8.00^a, e, M8.5^h","2850^a, 2600^b, h",
SONYC-Lup3-10,16 09 13.43,-38 58 04.9,16.1,14.9,M 8.75^a,2650^a,
SONYC-Lup3-12,16 11 18.47,-39 02 58.2,15.1,13.3,<M 1^a,4200^a,
EX Lup,16 03 05.5,-40 18 26,9.7,8.5,M0^f,,"HD 325367, Th 14"
Sz-88,16 07 00.61,-39 02 19.9,9.9,8.6,"M1^f, M0^h",3850^h,Th 15
Sz-91,16 07 11.57,-39 03 47.2,11.1,9.8,"M0.5^f, M1^h",3705^h,Th 20
Sz-94,16 07 49.68,-39 04 28.6,11.4,10.6,"M4^f, M4.5^g",,
Sz-95,16 07 52.29,-38 58 05.6,11.0,10.0,M1.5^f,,
Sz-96,16 08 12.48,-39 08 33.0,10.1,9.0,"M1.5^f,M2^g",3560^g,
Sz-97,16 08 21.84,-39 04 21.4,11.2,10.2,"M3^f,M4.5^g, M4^h","3198^g, 3270^h",Th 24
Sz-98,16 08 22.44,-39 04 46.7,9.5,8.0,M0^f,,
Sz-99,16 08 24.00,-39 05 49.2,11.9,10.7,"M3.5^f,M4^g, h","3270^g, h",Th 25
Sz-100,16 08 25.76,-39 06 01.2,11.0,9.9,"M5^d, f, M4.5^g, M5.5^h","3198^g, 3057^h",Th 26
Sz-101,16 08 28.37,-39 05 32.3,10.4,9.4,"M4.5^g,M4^f",3198^g,Th 27
Sz-103,16 08 30.24,-39 06 10.8,11.4,10.2,"M4^f, h, M4.5^g","3198^g, 3270^h",Th 29
Sz-104,16 08 30.72,-39 05 48.5,11.7,10.7,"M5^f, h,M5.5^g","3058^g, 3125^h",Th 30
Sz-105,16 08 37.03,-40 16 20.8,9.0,7.6,M4^f,,Th 31
Sz-106,16 08 39.76,-39 06 25.3,11.7,10.1,"M0^f,M2.5^d, M0.5^h",3777^h,
Sz-107,16 08 41.76,-39 01 36.8,11.2,10.3,"M5.5^f, M6.5^g",2935^g,
Sz-108A,16 08 42.74,-39 06 18.4,9.8,8.8,M3^d,,
Sz-108B,16 08 42.87,-39 06 14.6,,,"M6^d, M5.5^g",3058^g,
Sz-109,16 08 48.16,-39 04 19.3,11.4,10.5,"M5.5^f, M6.5^d",,
Sz-110,16 08 51.57,-39 03 17.7,11.0,9.7,"M4.5^d, M3^g, M2^f,M4^h","3415^g, 3270^h",Th 32
Sz-111,16 08 54.74,-39 37 43.6,10.6,9.5,"M1.5^f, M1^h",3705^h,Th 33
Sz-112,16 08 55.53,-39 02 34.0,11.0,10.0,"M4^f,M6^d, M5^h",3125^h,
Sz-113,16 08 57.80,-39 02 22.8,12.5,11.3,"M4^f, M6^d, M1.5^g, M4.5^h","3633^g, 3197^h","Th 34, Lup 609s"
Sz-114,16 09 01.85,-39 05 12.4,10.4,9.3,"M5.5^d, M4^g, f, M4.8^h","3270^g, 3175^h",Th 35
Sz-115,16 09 06.23,-39 08 51.9,11.3,10.4,"M4^f, M4.5^h",3197^h,
Sz-116,16 09 42.61,-39 19 41.5,10.5,9.5,M1.5^f,,Th 36
Sz-117,16 09 44.34,-39 13 30.4,10.7,9.4,M2^f,,Th 37
Sz-119,16 09 57.07,-38 59 47.6,10.4,9.4,M4^f,,Th 38
Sz-121,16 10 12.21,-39 21 18.6,10.0,9.0,M3^f,,Th 40
Sz-122,16 10 16.44,-39 08 05.4,10.9,9.9,M2^f,,Th 41
Sz-123,16 10 51.49,-38 53 14.1,11.1,9.8,"M1^f, h",3705^h,Th 42
Par-Lup3-2,16 08 35.78,-39 03 47.9,11.2,10.3,"M6^d, M5^g",,
Par-Lup3-3,16 08 49.40,-39 05 39.3,11.4,9.5,"M4.5^d, M4^h",3270^h,
Par-Lup3-4,16 08 51.44,-39 05 30.5,15.5,13.3,"M5^d, M4.5^h",3197^h,
Lup 713s,16 07 37.73,-39 21 38.8,13.2,12.1,"M5.75^e, M5.5^h",3057^h,
Lup 604s,16 08 00.17,-39 02 59.5,12.1,11.1,"M5.25^e, M5.5^g, h","3058^g, h",
J16081497-3857145,16 08 14.97,-38 57 14.5,15.2,13.1,M4.75^e,,
Lup 706,16 08 37.33,-39 23 10.9,15.2,13.8,"M7.75^e, M7.5^h",2795^h,
J16085373-3914367,16 08 53.73,-39 14 36.7,15.0,12.5,M5.5^e,,
M-7,16 08 55.20,-38 48 48.2,13.0,12.0,M3^g,3415^g,
M-17,16 08 28.08,-39 13 09.8,13.7,12.4,M5.5^g,3058^g,Lup 607
M-18,16 09 08.40,-39 03 42.8,12.2,11.4,M5.5^g,,Lup 608s
M-19,16 08 48.24,-39 09 19.4,12.9,12.0,M6^g,,Lup 617
M-20,16 09 49.92,-38 49 02.6,15.4,14.4,M3.5^g,,Lup 650
M-23,16 09 17.04,-39 27 09.7,13.5,12.7,M4.5^g,,Lup 710
M-24,16 07 58.80,-39 24 34.9,12.6,11.6,M6^g,,Lup 714
M-25,16 11 51.12,-38 51 05.0,13.3,12.3,M5.5^g,,Lup 802s
M-27,16 09 56.40,-38 59 51.0,13.0,12.0,"M6^g, h","2990^g, h",Lup 818s
M-51,16 11 59.76,-38 23 38.4,12.2,11.2,"M6^g, M5^h","2990^g, 3125^h",SST-Lup3-1
M-58,16 07 03.84,-39 11 11.4,14.7,13.1,M5.5^g,3058^g,
M-62,16 09 01.44,-39 25 12.0,11.6,10.3,"M3.5^g, M4^h","3343^g, 3270^h",
M-65,16 10 12.96,-38 46 16.3,15.9,13.9,M4^g,3270^g,
M-66,16 10 19.92,-38 36 06.5,13.3,12.3,M6^g,2990^g,
M-67,16 10 29.52,-39 22 14.5,11.9,10.9,M5.5^g,3058^g,
M-69,16 11 31.92,-38 11 10.0,12.3,10.7,M2.5^g,3488^g,
M-70,16 11 44.88,-38 32 44.9,12.4,11.5,M6.5^g,2935^g,
J16052862-3846210,16 05 28.63,-38 46 21.1,12.6,11.8,M6^c,3000^c,
J16083304-3852224,16 08 33.05,-38 52 22.4,12.9,11.9,M7.5^c,2800^c,
J16083547-3900358,16 08 35.48,-39 00 35.8,11.5,10.6,M6.5^c,2950^c,
J16083974-3929228,16 08 39.75,-39 29 22.9,11.7,10.9,M5^c,3100^c,
J16085575-3826330,16 08 55.75,-38 26 33.1,13.0,12.1,M5.5^c,3050^c,
J16090452-3921125,16 09 04.52,-39 21 12.5,10.7,9.8,M5^c,3100^c,
J16091570-3851396,16 09 15.71,-38 51 39.7,12.0,11.2,M5^c,3100^c,
J16092279-3855506,16 09 22.80,-38 55 50.6,10.8,9.9,M5^c,3100^c,J160922.8-385550A^c
J16092320-3855547,16 09 23.20,-38 55 54.8,10.8,9.9,M4^c,3250^c,J160922.8-385550B^c
J16092800-3848538,16 09 28.01,-38 48 53.8,11.9,11.0,M5.5^c,3050^c,
J16101386-3759589,16 10 13.87,-37 59 58.9,12.2,11.2,M6^c,3000^c,
J16103062-3831517,16 10 30.62,-38 31 51.7,13.3,12.4,M6^c,3000^c,
J16103323-3830234,16 10 33.23,-38 30 23.5,10.8,9.8,M4.5^c,3200^c,
J16104192-3823046,16 10 41.92,-38 23 04.7,10.9,10.0,M5^c,3100^c,
J16105899-3914514,16 10 58.99,-39 14 51.4,12.1,11.3,M5^c,3100^c,
J16113801-3841356,16 11 38.02,-38 41 35.7,10.9,10.1,M2.5^c,3500^c,
J16120761-3813242,16 12 07.61,-38 13 24.3,10.9,10.0,M4.5^c,3200^c,
J16121046-3909040,16 12 10.46,-39 09 04.0,13.9,12.8,M6.5^c,2950^c,
J16122559-3817428,16 12 25.58,-38 17 42.8,13.1,12.2,M6^c,3000^c,
