ID,MJ,AV,log_Teff,log_L_bol,Simbad_name,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE
SCH 15583162-24025411,7.18,0.66,3.48,-1.76,[SCH2006] J15583162-24025411,2MASS J15583162-2402538,15 58 31.626,-24 02 53.86,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M4.5,D,,2006AJ....131.3016S
SCH 15594802-22271650,8.35,0.33,3.41,-2.27,[SCH2006] J15594802-22271650,2MASS J15594802-2227162,15 59 48.021,-22 27 16.29,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M7.5,D,,2006AJ....131.3016S
SCH 16014768-24410152,8.03,0.15,3.47,-2.11,[SCH2006] J16014768-24410152,2MASS J16014769-2441011,16 01 47.695,-24 41 01.13,7.0,7.0,70.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16040453-23463795,5.64,1.14,3.49,-1.13,[SCH2006] J16040453-23463795,2MASS J16040453-2346377,16 04 04.538,-23 46 37.71,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2006AJ....131.3016S
SCH 16044303-23182620,7.99,0.05,3.43,-2.12,[SCH2006] J16044303-23182620,2MASS J16044303-2318258,16 04 43.036,-23 18 25.90,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S
SCH 16051829-17562092,5.62,0.85,3.49,-1.12,[SCH2006] J16051829-17562092,2MASS J16051830-1756210,16 05 18.303,-17 56 21.06,7.0,7.0,80.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2006AJ....131.3016S
SCH 16053077-22462016,7.97,0.04,3.44,-2.11,[SCH2006] J16053077-22462016,2MASS J16053077-2246200,16 05 30.779,-22 46 20.01,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16075850-20394890,7.69,0.38,3.44,-1.99,[SCH2006] J16075850-20394890,2MASS J16075850-2039485,16 07 58.509,-20 39 48.59,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16093018-20595409,8.09,0.39,3.44,-2.15,[SCH2006] J16093018-20595409,2MASS J16093019-2059536,16 09 30.190,-20 59 53.62,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16095991-21554293,8.38,0.43,3.43,-2.28,[SCH2006] J16095991-21554293,2MASS J16095990-2155424,16 09 59.907,-21 55 42.50,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S
SCH 16103876-18292353,7.69,1.78,3.44,-1.99,[SCH2006] J16103876-18292353,2MASS J16103876-1829235,16 10 38.767,-18 29 23.59,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16111711-22171749,8.54,0.0,3.41,-2.35,[SCH2006] J16111711-22171749,2MASS J16111711-2217173,16 11 17.118,-22 17 17.38,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M7.5,D,,2006AJ....131.3016S
SCH 16112959-19002921,7.46,1.52,3.44,-1.9,[SCH2006] J16112959-19002921,2MASS J16112959-1900292,16 11 29.598,-19 00 29.22,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16121188-20472698,7.79,0.24,3.43,-2.04,[SCH2006] J16121188-20472698,2MASS J16121185-2047267,16 12 11.860,-20 47 26.72,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S
SCH 16123758-23492340,8.0,0.48,3.44,-2.12,[SCH2006] J16123758-23492340,2MASS J16123759-2349234,16 12 37.590,-23 49 23.40,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16124692-23384086,7.77,0.29,3.44,-2.02,[SCH2006] J16124692-23384086,2MASS J16124692-2338408,16 12 46.925,-23 38 40.84,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16131212-23050329,8.25,0.0,3.43,-2.22,[SCH2006] J16131212-23050329,2MASS J16131211-2305031,16 13 12.118,-23 05 03.19,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S
SCH 16132576-17373542,6.38,0.52,3.49,-1.43,[SCH2006] J16132576-17373542,2MASS J16132577-1737354,16 13 25.771,-17 37 35.46,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2006AJ....131.3016S
SCH 16141974-24284053,7.87,0.54,3.44,-2.06,[SCH2006] J16141974-24284053,2MASS J16141974-2428404,16 14 19.742,-24 28 40.45,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16151115-24201556,8.32,0.42,3.44,-2.24,[SCH2006] J16151115-24201556,2MASS J16151116-2420153,16 15 11.161,-24 20 15.33,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16155508-24443677,7.46,0.49,3.44,-1.9,[SCH2006] J16155508-24443677,2MASS J16155507-2444365,16 15 55.079,-24 44 36.50,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16172504-23503799,7.59,1.31,3.47,-1.93,[SCH2006] J16172504-23503799,2MASS J16172505-2350380,16 17 25.050,-23 50 38.00,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16174540-23533618,7.91,1.26,3.44,-2.08,[SCH2006] J16174540-23533618,2MASS J16174539-2353360,16 17 45.400,-23 53 36.02,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16182501-23381068,7.29,2.37,3.47,-1.82,[SCH2006] J16182501-23381068,2MASS J16182501-2338106,16 18 25.019,-23 38 10.68,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16183144-24195229,8.15,0.76,3.43,-2.18,[SCH2006] J16183144-24195229,2MASS J16183140-2419522,16 18 31.407,-24 19 52.21,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S
SCH 16200756-23591522,7.09,1.18,3.44,-1.75,[SCH2006] J16200756-23591522,2MASS J16200757-2359150,16 20 07.574,-23 59 15.03,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16202127-21202923,7.48,0.41,3.44,-1.91,[SCH2006] J16202127-21202923,2MASS J16202128-2120289,16 20 21.281,-21 20 28.96,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16202523-23160347,8.31,0.95,3.45,-2.23,[SCH2006] J16202523-23160347,2MASS J16202523-2316033,16 20 25.235,-23 16 03.33,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5.5,D,,2006AJ....131.3016S
SCH 16213591-23550341,7.78,1.38,3.44,-2.03,[SCH2006] J16213591-23550341,2MASS J16213591-2355035,16 21 35.910,-23 55 03.58,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16221577-23134936,7.91,0.0,3.44,-2.08,[SCH2006] J16221577-23134936,2MASS J16221576-2313490,16 22 15.764,-23 13 49.09,7.0,7.0,270.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16222156-22173094,7.76,0.66,3.47,-2.0,[SCH2006] J16222156-22173094,2MASS J16222160-2217307,16 22 21.603,-22 17 30.70,7.0,7.0,130.0,120.0,89.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16224384-19510575,6.35,0.75,3.4,-1.48,[SCH2006] J16224384-19510575,2MASS J16224385-1951057,16 22 43.854,-19 51 05.77,7.0,7.0,210.0,160.0,0.0,B,I,2003yCat.2246....0C,pMS*,M8,D,,2006AJ....131.3016S
SCH 16235158-23172740,7.75,0.0,3.4,-2.04,[SCH2006] J16235158-23172740,2MASS J16235155-2317270,16 23 51.560,-23 17 27.03,7.0,7.0,140.0,80.0,0.0,B,I,2003yCat.2246....0C,pMS*,M8,D,,2006AJ....131.3016S
SCH 16235474-24383211,6.96,2.07,3.44,-1.7,[SCH2006] J16235474-24383211,2MASS J16235470-2438319,16 23 54.707,-24 38 31.97,7.0,7.0,80.0,70.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16252862-16585055,7.86,0.02,3.4,-2.08,[SCH2006] J16252862-16585055,2MASS J16252860-1658509,16 25 28.604,-16 58 50.94,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M8,D,,2006AJ....131.3016S
SCH 16252968-22145448,7.09,1.14,3.47,-1.73,[SCH2006] J16252968-22145448,2MASS J16252969-2214543,16 25 29.696,-22 14 54.38,7.0,7.0,70.0,60.0,89.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16253671-22242887,7.55,0.67,3.42,-1.95,[SCH2006] J16253671-22242887,2MASS J16253672-2224285,16 25 36.725,-22 24 28.54,7.0,7.0,70.0,70.0,90.0,B,I,2003yCat.2246....0C,pMS*,M7,D,,2006AJ....131.3016S
SCH 16254319-22300300,7.12,0.38,3.47,-1.74,[SCH2006] J16254319-22300300,2MASS J16254322-2230026,16 25 43.221,-22 30 02.62,7.0,7.0,70.0,70.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16263026-23365552,7.15,3.02,3.44,-1.78,[SCH2006] J16263026-23365552,2MASS J16263026-2336551,16 26 30.266,-23 36 55.17,7.0,7.0,100.0,80.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16265619-22135224,7.57,0.39,3.44,-1.94,[SCH2006] J16265619-22135224,2MASS J16265619-2213519,16 26 56.199,-22 13 51.95,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
SCH 16274801-24571371,6.99,2.82,3.47,-1.7,[SCH2006] J16274801-24571371,2MASS J16274799-2457134,16 27 47.998,-24 57 13.41,7.0,7.0,70.0,60.0,89.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16294877-21370914,6.53,0.73,3.47,-1.51,[SCH2006] J16294877-21370914,2MASS J16294879-2137086,16 29 48.793,-21 37 08.69,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2006AJ....131.3016S
SCH 16324726-20593771,7.64,0.06,3.44,-1.97,[SCH2006] J16324726-20593771,2MASS J16324727-2059375,16 32 47.274,-20 59 37.53,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S
